,total_population,Municipality_code,latitude,longitude
0,156789.0,18001,1.74913870382,-75.5582390643
1,4514.0,18029,1.22786549019,-75.8823265076
2,9075.0,18094,1.50092300306,-75.8756454243
3,17775.0,18247,1.79138590347,-75.1939441549
4,13014.0,18256,1.61774635616,-75.2340433342
5,12128.0,18410,1.30286044233,-75.2357273187
6,7507.0,18460,1.14669255394,-75.3866476384
7,3350.0,18479,1.38299610984,-75.6738112337
8,11364.0,18610,1.30470231426,-76.1100059415
9,6082.0,18860,1.06129220657,-75.6270476674
10,27939.0,18150,0.64769308121,-74.2723549908
11,42390.0,18753,1.56780169584,-74.2629775148
12,10331.0,18756,0.21128084552,-73.1238678989
13,5431.0,18785,0.90926545692,-75.6384004547
14,7518.0,18205,1.05966316507,-75.9517850567
15,24395.0,18592,2.01894089126,-75.0730862673
16,277270.0,19001,2.47170436246,-76.5919441915
17,16523.0,19022,1.9124405208,-76.8349451942
18,20136.0,19050,2.32933728292,-77.2631490603
19,18910.0,19075,2.08473294481,-77.2088133019
20,35837.0,19100,1.85395193811,-76.9633745378
21,25257.0,19110,3.04591778287,-76.6790115245
22,32237.0,19130,2.64320984772,-76.701389144
23,36139.0,19137,2.81032823986,-76.4645161155
24,25416.0,19142,3.04594227664,-76.3663887603
25,21975.0,19212,3.1367536056,-76.2096456925
26,5089.0,19290,1.69453474037,-77.087357234
27,18513.0,19300,3.14438999263,-76.3923481067
28,26571.0,19355,2.49905878314,-76.1376253119
29,16353.0,19364,2.84981013021,-76.3112491905
30,9935.0,19392,2.18747357214,-76.7822803199
31,19777.0,19397,2.05393342595,-76.7588062038
32,14824.0,19450,1.79382516403,-77.1806038118
33,28662.0,19455,3.22823521199,-76.2167082735
34,29737.0,19473,2.81476546957,-76.7509625512
35,8763.0,19513,3.19473061787,-76.3362418028
36,37666.0,19517,2.73388770166,-75.9936826375
37,28586.0,19532,2.14816539792,-77.0579270804
38,7125.0,19533,1.15232350034,-76.3054725171
39,33431.0,19548,2.7144573281,-76.5647208581
40,40244.0,19573,3.26672420505,-76.4184635301
41,14952.0,19585,2.28177597412,-76.3711563587
42,9336.0,19622,2.25087676518,-76.7529275694
43,9806.0,19693,1.85626181515,-76.7165242362
44,96032.0,19698,2.98446733754,-76.4987314534
45,5045.0,19701,1.52002178961,-76.5387628061
46,33508.0,19743,2.65129189379,-76.3505735627
47,11958.0,19760,2.23182054146,-76.611466326
48,19690.0,19780,2.93686599657,-76.745824296
49,6201.0,19785,2.0577351842,-76.9099396475
50,32217.0,19807,2.36962531169,-76.7105193226
51,30654.0,19821,2.97577199859,-76.203315664
52,20870.0,19824,2.50450024729,-76.3904746386
53,38688.0,19256,2.53448831155,-77.0051120649
54,24037.0,19318,2.41326696025,-77.6904753052
55,15154.0,19418,3.00153896421,-77.218412093
56,21618.0,19809,2.6994751269,-77.4913157651
57,18761.0,19845,3.18062731694,-76.4644555812
58,1822869.0,76001,3.39904372291,-76.5764925891
59,18132.0,76036,4.1448536005,-76.1647046061
60,15668.0,76041,4.79592729199,-76.0296304881
61,5008.0,76054,4.7042878643,-76.1416499854
62,115821.0,76111,3.85524706978,-76.1051468856
63,22052.0,76113,4.19685299107,-76.0896103031
64,26357.0,76122,4.30899797261,-75.836725668
65,16054.0,76126,3.9443866198,-76.6277829464
66,84661.0,76130,3.3820915638,-76.3831766307
67,118803.0,76147,4.70684716041,-75.9179084592
68,7393.0,76243,4.91756287292,-76.0660100075
69,6179.0,76246,4.75606370083,-76.2150282576
70,53983.0,76248,3.67598883051,-76.2091580912
71,8513.0,76250,4.53997972865,-76.2876270132
72,54207.0,76275,3.30410429476,-76.1647730668
73,19069.0,76306,3.74410441039,-76.19082004
74,30275.0,76318,3.78377992267,-76.2944883048
75,12186.0,76020,4.67889709955,-75.7829793174
76,10970.0,76497,4.59758866562,-75.9491996979
77,302642.0,76520,3.5583928757,-76.2277997209
78,43552.0,76563,3.42063665013,-76.1784184123
79,12816.0,76606,3.80649497346,-76.5348985331
80,14045.0,76616,4.10950029845,-76.3710544331
81,31658.0,76622,4.44357184844,-76.1682424928
82,15450.0,76670,3.98143243972,-76.2083616779
83,36827.0,76736,4.19341191996,-75.8881816333
84,12091.0,76823,4.6384212785,-76.0810617613
85,16688.0,76828,4.2332681164,-76.3429269884
86,187159.0,76834,4.0284079705,-76.0325037925
87,4844.0,76845,4.70771894676,-75.7783590259
88,6233.0,76863,4.62259022005,-76.2178961024
89,10766.0,76869,3.74365889017,-76.470647175
90,15325.0,76890,3.90413035361,-76.3908043487
91,95040.0,76892,3.59591366947,-76.5109879004
92,39343.0,76895,4.35359874954,-76.0506533636
93,11058.0,76403,4.48351114202,-75.9667730272
94,29388.0,76400,4.53793739086,-76.1032898273
95,12879.0,76377,3.69430310602,-76.5898990517
96,131806.0,76364,3.21389238923,-76.6276041783
97,13954.0,76100,4.36368169724,-76.3648595472
98,39665.0,76233,3.6498222184,-76.7203934654
99,258445.0,76109,3.61149195831,-77.0858824113
100,48422.0,86001,1.22857499466,-76.6843621833
101,5204.0,86219,1.22321781829,-76.9667296216
102,33003.0,86320,0.67375632254,-76.9431392288
103,14104.0,86749,1.22874692245,-76.9130758535
104,5572.0,86755,1.13607109605,-76.8472666058
105,14054.0,86757,0.30587382778,-76.857757878
106,6836.0,86760,1.08581285661,-77.0056290076
107,27455.0,86865,0.41296368772,-76.8840928954
108,22630.0,86885,0.91114951467,-76.744954473
109,11122.0,86569,0.72507122985,-76.4809940512
110,57255.0,86568,0.4786114636,-76.3282001496
111,17495.0,86571,0.74643221515,-75.8802297851
112,20045.0,86573,0.05947196958,-75.0647932711
113,18859.0,52683,1.28810540885,-77.4567006834
114,8874.0,52685,1.52978248504,-77.0207066245
115,16653.0,52687,1.54213958238,-77.2187269253
116,10186.0,52560,0.72267831002,-77.4248076098
117,12929.0,52693,1.68157662671,-76.9752797933
