COD_DPTO;NOM_DPTO;COD_MPIO;NOM_MPIO;TIPO;LATITUD;LONGITUD
05;ANTIOQUIA;05001;MEDELLÍN;Municipio;6,257590259;-75,61103107
05;ANTIOQUIA;05002;ABEJORRAL;Municipio;5,803728154;-75,43847353
05;ANTIOQUIA;05004;ABRIAQUÍ;Municipio;6,627569378;-76,08597756
05;ANTIOQUIA;05021;ALEJANDRÍA;Municipio;6,365534125;-75,09059702
05;ANTIOQUIA;05030;AMAGÁ;Municipio;6,032921994;-75,7080031
05;ANTIOQUIA;05031;AMALFI;Municipio;6,977788843;-74,9812393
05;ANTIOQUIA;05034;ANDES;Municipio;5,604993248;-75,94128391
05;ANTIOQUIA;05036;ANGELÓPOLIS;Municipio;6,121430303;-75,71594966
05;ANTIOQUIA;05038;ANGOSTURA;Municipio;6,861498764;-75,358316
05;ANTIOQUIA;05040;ANORÍ;Municipio;7,193110778;-75,10848954
05;ANTIOQUIA;05042;SANTA FÉ DE ANTIOQUIA;Municipio;6,535711576;-75,90426658
05;ANTIOQUIA;05044;ANZÁ;Municipio;6,293546613;-75,91736927
05;ANTIOQUIA;05045;APARTADÓ;Municipio;7,86047815;-76,58236264
05;ANTIOQUIA;05051;ARBOLETES;Municipio;8,611395262;-76,41478317
05;ANTIOQUIA;05055;ARGELIA;Municipio;5,708114524;-75,09469795
05;ANTIOQUIA;05059;ARMENIA;Municipio;6,163683758;-75,80995528
05;ANTIOQUIA;05079;BARBOSA;Municipio;6,443417935;-75,32924085
05;ANTIOQUIA;05086;BELMIRA;Municipio;6,665853953;-75,68621659
05;ANTIOQUIA;05088;BELLO;Municipio;6,358841086;-75,58973588
05;ANTIOQUIA;05091;BETANIA;Municipio;5,727081285;-75,98689107
05;ANTIOQUIA;05093;BETULIA;Municipio;6,185783612;-75,95649246
05;ANTIOQUIA;05101;CIUDAD BOLÍVAR;Municipio;5,840995666;-76,01065253
05;ANTIOQUIA;05107;BRICEÑO;Municipio;7,111788462;-75,56223474
05;ANTIOQUIA;05113;BURITICÁ;Municipio;6,80906489;-75,91206595
05;ANTIOQUIA;05120;CÁCERES;Municipio;7,665155105;-75,22369744
