LAT,LON,YEAR,MO,DY,T2M,T2MDEW,TS,PRECTOTCORR,PS
3.25,-76.75,2021,4,1,21.02,19,21.27,4.82,87.67
3.25,-76.25,2021,4,1,16.38,13.87,16.87,1.06,78.06
3.25,-75.75,2021,4,1,18.7,15.76,19.19,1.75,82.44
3.25,-75.25,2021,4,1,21.27,17.45,21.61,1.83,86.52
3.25,-74.75,2021,4,1,21.44,17.93,21.66,2.04,87.6
3.25,-74.25,2021,4,1,20.47,18.19,20.6,2.49,87.86
3.25,-73.75,2021,4,1,23.49,21.25,23.43,2.64,94.3
3.25,-73.25,2021,4,1,25.08,22.84,25.14,1.92,97.32
3.25,-72.75,2021,4,1,25.46,23.39,25.56,1.54,98.27
3.75,-76.75,2021,4,1,22.57,20.8,22.88,6.59,91.01
3.75,-76.25,2021,4,1,18.12,15.54,18.56,0.94,80.97
3.75,-75.75,2021,4,1,17.89,15.23,18.36,2.02,81.25
3.75,-75.25,2021,4,1,22.67,17.98,23.02,2.12,87.7
3.75,-74.75,2021,4,1,22.68,17.93,23.04,2.46,87.66
3.75,-74.25,2021,4,1,18.49,15.78,18.93,3.09,82.85
3.75,-73.75,2021,4,1,21.01,18.7,21.17,2.9,89.36
3.75,-73.25,2021,4,1,24.51,22.03,24.65,2.13,96.1
3.75,-72.75,2021,4,1,25.61,23.19,25.77,1.73,98.2
4.25,-76.75,2021,4,1,23.99,22.38,24.18,5.95,93.93
4.25,-76.25,2021,4,1,20.88,18.17,21.06,0.91,85.73
4.25,-75.75,2021,4,1,17.28,14.72,17.62,2.1,80.06
4.25,-75.25,2021,4,1,21.81,17.27,22.14,2.48,85.83
4.25,-74.75,2021,4,1,22.86,17.71,23.26,2.66,86.74
4.25,-74.25,2021,4,1,18.75,15.06,19.27,2.7,81.31
4.25,-73.75,2021,4,1,17.73,15.5,18.08,2.11,82.82
4.25,-73.25,2021,4,1,23.12,20.48,23.28,2.09,93.26
4.25,-72.75,2021,4,1,25.5,22.65,25.64,2.13,97.49
4.75,-76.75,2021,4,1,24.74,23.4,24.67,4.48,95.88
4.75,-76.25,2021,4,1,22.48,20.07,22.45,0.88,89.08
4.75,-75.75,2021,4,1,17.85,15.19,18.03,1.85,80.29
4.75,-75.25,2021,4,1,20.43,16.45,20.57,2.3,83.28
4.75,-74.75,2021,4,1,22.21,17.19,22.47,2.26,85.3
4.75,-74.25,2021,4,1,19.95,15.26,20.46,1.8,82.01
4.75,-73.75,2021,4,1,15.1,12.93,15.58,1.09,77.49
4.75,-73.25,2021,4,1,19.98,17.44,20.24,1.72,87.03
